Model,Dataset,aAcc,mIoU,mAcc
SAM3,ISPRSDataset,84.30000305175781,53.56000137329102,67.52999877929688
SAM3,ISPRSDataset,78.69999694824219,55.31999969482422,78.25
SAM3,PotsdamDataset,70.43000030517578,55.18999862670898,68.88999938964844
SAM3,ISPRSDataset,78.69999694824219,55.31999969482422,78.25
SAM3,PotsdamDataset,75.44999694824219,55,71.29000091552734
